,name,email,gender,hired_ago,last_advance_ago,birth_ago,salary,position,has_ps,arrival_mean,arrival_stdv,depart_mean,depart_stdv,license_plate_cnt,work_area,reservation_ratio,giveup_ratio,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249,250,251,252,253,254,255,256,257,258,259,260,261,262,263,264,265,266,267,268,269,270,271,272,273,274,275,276,277,278,279,280,281,282,283,284,285,286,287,288,289,290,291,292,293,294,295,296,297,298,299,300,301,302,303,304,305,306,307,308,309,310,311,312,313,314,315,316,317,318,319,320,321,322,323,324,325,326,327,328,329,330,331,332,333,334,335,336,337,338,339,340,341,342,343,344,345,346,347,348,349,350,351,352,353,354,355,356,357,358,359,360,361,362,363,364
72,David Jones,michelleobrien@example.net,True,2514.2478670290143,1047.7863314402305,14133.190801816134,798087.5866339632,2,False,7.874388381961947,1.241040948522369,15.631188864318851,2.366206323607258,1,3,0.6475171797525872,1.0569834407785028,W,W,W,H,W,W,W,W,W,W,H,W,W,W,W,W,W,H,H,W,W,W,W,W,H,W,W,W,W,W,W,H,W,H,W,W,W,W,H,W,W,W,W,W,W,H,W,W,H,W,W,W,H,W,H,W,W,W,W,H,W,W,W,W,W,W,H,W,W,W,W,W,W,W,W,W,W,W,W,W,H,W,W,W,W,W,V,H,W,W,H,W,W,W,V,W,H,W,W,W,W,H,W,W,W,W,W,W,H,W,W,W,W,W,W,H,W,W,W,W,W,W,H,H,H,W,W,W,W,H,W,W,W,W,W,W,H,H,W,W,W,W,W,H,W,H,W,W,W,W,H,W,V,V,W,W,W,V,W,W,W,W,W,W,H,W,W,H,W,W,W,H,W,W,W,W,W,W,H,V,V,V,W,W,V,V,V,V,W,W,W,V,V,V,V,V,W,W,W,H,W,W,W,W,W,W,H,W,V,V,W,W,V,V,V,V,V,W,W,W,H,W,W,W,W,W,W,H,W,W,W,W,W,W,H,W,H,W,W,W,W,H,H,W,W,W,W,W,H,W,W,W,W,W,W,H,W,H,W,W,W,H,H,W,W,W,W,W,W,H,H,W,W,W,W,H,H,W,W,W,W,W,W,H,W,H,W,W,W,W,H,W,W,W,W,W,W,H,W,W,W,W,W,W,W,W,W,W,W,W,W,H,W,W,V,W,W,V,V,V,V,V,W,W,W,H,H,W,W,W,W,W,H,W,W,W,W,W,W,H,W,W,W,W,W,W,H,W,W,W,W,W,W,H,W,W,W,W,W,W,H,W,W,W,W
73,Christian Smith,seanbarrett@example.com,True,2122.889463449497,1076.5154271090312,12618.731459229166,684373.9357062846,2,True,7.168256767373801,0.8475513655151948,16.48431997269844,1.8734743400622764,2,1,0.8170121741349271,1.0363191032115657,W,W,W,W,H,V,V,W,W,V,W,H,W,W,W,W,W,W,H,W,W,W,W,W,W,H,W,H,W,W,H,W,H,W,W,W,W,W,W,H,W,W,W,W,W,W,H,W,W,W,W,W,W,H,W,W,W,W,H,W,H,W,W,W,W,W,W,H,W,W,W,W,W,W,H,W,W,W,W,W,W,H,W,W,W,W,W,W,H,W,W,W,W,W,W,H,W,W,W,W,W,W,H,W,W,W,W,W,W,H,W,W,W,W,W,W,H,W,W,W,W,W,W,H,W,W,W,W,W,W,H,W,W,W,W,W,W,V,V,W,W,W,H,V,V,V,V,W,W,W,W,H,W,W,W,W,W,W,H,W,W,W,W,W,V,V,V,V,W,W,V,V,H,W,W,W,W,H,W,H,W,V,W,W,V,V,V,V,V,W,W,V,V,V,V,V,W,W,V,V,H,W,H,W,W,W,W,H,W,H,W,W,W,W,H,H,W,W,W,W,W,H,W,W,W,W,W,W,H,W,W,W,W,W,H,H,W,W,W,W,V,V,H,W,W,W,W,W,W,H,W,W,W,W,H,H,H,W,W,W,W,W,W,V,W,W,W,W,W,W,H,W,W,W,W,W,W,H,W,W,W,W,W,W,H,W,W,W,W,W,H,H,H,W,W,W,W,W,H,W,W,W,W,W,W,H,H,H,W,W,W,W,H,W,W,W,W,W,H,H,W,W,W,W,W,W,H,W,W,W,W,W,W,H,W,W,W,W,W,W,H,W,H,W,W,W,W,H,W,W,W,W,W,W,H,W,W,W,W,W,W,H,W,W,W
74,Jessica Lam,roberthughes@example.org,False,1529.4508758178767,1135.28880981602,19370.638840306634,802136.4112631053,2,False,7.401414541199372,0.8833221863576026,17.51626261695191,1.940233281584136,3,1,0.6612375659506652,1.4033162593431854,W,W,W,W,W,W,H,W,W,W,W,W,W,H,W,W,W,W,W,W,H,W,W,H,H,W,W,H,W,W,W,W,W,W,H,W,W,W,W,W,W,H,W,W,W,W,W,W,H,W,W,W,H,W,H,H,W,W,W,W,W,W,H,W,W,W,W,W,W,H,W,W,W,W,W,W,H,W,W,W,W,W,W,H,W,W,H,H,H,H,H,W,W,W,H,W,W,H,W,W,W,W,W,W,W,W,W,W,W,W,W,H,W,W,H,W,W,W,H,W,W,H,W,W,W,H,W,W,H,W,W,W,H,W,W,W,W,W,V,V,W,W,V,V,V,V,V,W,W,V,V,V,V,V,W,W,W,V,V,W,V,W,W,V,V,V,V,V,W,W,V,W,W,W,H,W,W,W,W,W,W,H,W,W,W,W,V,V,V,W,W,V,V,V,V,H,W,W,W,W,W,H,H,W,W,W,W,W,H,H,W,W,W,W,W,W,H,W,W,H,W,W,W,H,W,W,W,W,W,H,H,W,W,W,W,H,W,H,W,W,W,W,W,H,H,W,W,W,W,W,W,H,W,W,W,H,W,W,H,W,W,W,W,W,V,V,W,W,V,W,W,W,H,W,W,W,W,W,W,H,W,W,W,W,W,W,H,W,W,W,W,W,W,H,W,W,W,W,W,H,H,W,W,W,W,W,W,H,W,W,W,W,W,H,H,W,W,W,H,W,W,H,W,W,W,W,W,W,H,W,W,W,W,W,H,H,W,W,W,W,W,W,H,W,W,W,W,W,W,H,W,W,W,W,W,W,H,W,W,W,W,W,W,H,W
75,David Reynolds,jacob43@example.net,True,2665.9224108059857,1111.5487634472322,13707.72578505705,768206.2068522072,3,False,7.770530547946057,1.077967821099217,17.586930071966886,2.091426691784925,3,2,0.7800315824693174,0.8431954304586092,W,W,W,W,W,H,W,W,W,H,H,W,H,W,W,W,W,W,W,H,W,W,W,W,W,W,H,W,W,W,W,W,W,H,W,W,W,H,W,W,H,W,W,W,W,W,W,V,V,W,W,V,V,V,V,V,W,W,W,W,H,H,W,W,W,W,W,W,H,W,W,W,W,W,W,H,W,W,W,H,W,W,H,W,W,W,W,H,H,H,W,W,W,W,W,W,H,W,W,W,W,W,W,H,W,W,W,W,W,W,H,W,W,W,W,W,W,H,W,W,W,W,W,W,H,W,W,W,W,W,W,H,W,W,W,W,W,W,V,V,W,W,W,W,W,H,W,W,W,W,W,W,H,V,W,W,W,V,V,V,H,W,W,W,W,W,V,V,W,W,V,V,W,H,W,W,W,W,W,V,V,V,W,W,V,W,V,V,V,W,W,V,V,W,H,W,W,W,W,W,W,H,W,W,W,W,W,W,H,W,W,W,W,W,V,V,V,W,W,V,V,V,V,V,W,W,W,W,W,H,W,W,W,W,W,W,H,W,W,W,W,W,H,H,W,W,W,W,W,W,H,W,W,W,W,H,W,H,W,W,W,W,W,W,H,W,W,W,W,W,W,H,H,W,W,W,W,H,H,W,W,W,W,W,W,H,W,W,W,W,W,W,H,W,W,W,H,H,W,H,W,W,W,W,W,H,H,W,W,W,W,W,W,H,W,W,W,W,W,W,H,W,W,W,H,W,W,H,W,W,W,W,W,W,H,W,W,W,W,W,W,H,W,W,W,W,W,W,H,W,W,W,W,W,W,H,W,W,W,W,W,W,H,W,W
76,Heidi Ferguson,xcruz@example.com,False,1632.8918151611842,1367.4543490275676,9469.545003822845,695408.2772135087,3,False,8.215982505735857,1.0292409334375474,18.65087708957204,1.436186068701642,2,1,0.7762531523577095,1.1668601312936853,W,W,W,H,H,W,W,W,W,W,H,H,W,W,W,W,V,H,H,W,W,W,W,W,H,H,W,W,W,W,W,H,H,W,W,W,W,W,H,H,W,W,W,W,W,H,H,W,W,W,W,W,H,H,W,W,W,W,H,H,H,W,W,W,W,W,H,H,W,W,W,W,W,W,H,W,W,W,W,W,H,H,H,W,W,W,W,H,H,W,W,W,W,W,H,H,W,W,W,W,W,H,H,H,W,W,W,W,H,H,W,W,W,W,W,H,H,W,W,W,W,W,H,H,W,W,W,W,W,H,H,H,W,W,W,W,H,H,W,W,W,W,W,H,H,W,W,W,W,W,H,H,V,V,W,W,W,V,V,H,V,W,W,V,H,H,W,V,W,W,V,V,V,V,V,W,W,V,V,V,V,V,W,W,V,V,V,V,W,W,W,W,H,H,W,W,W,W,W,H,H,W,V,W,W,W,H,H,V,V,W,W,V,V,V,V,W,W,W,W,H,H,W,V,W,W,V,H,H,W,W,W,W,V,V,V,V,W,W,W,W,H,H,W,W,W,W,W,H,H,W,W,W,W,W,H,H,W,W,W,W,W,H,H,W,W,W,W,W,H,H,W,W,W,W,W,H,H,W,W,W,W,W,H,H,W,W,W,W,W,H,H,H,W,W,W,W,H,H,W,W,W,W,W,W,H,W,W,W,W,W,H,H,W,W,W,W,W,H,H,W,W,W,W,W,H,H,W,W,W,W,W,H,H,H,W,W,W,W,H,H,W,W,W,W,W,H,H,W,W,W,W,W,H,H,H,W,W,W,W,H,H,W,W,W
77,Ryan Powell,stephanie62@example.org,False,1466.4883462418275,1136.8433269618438,13132.837418339172,657649.3465013857,3,True,8.690825945362294,0.6238342654467612,15.944468296901357,2.0637192844713126,3,2,0.7868057180993278,0.8648049432604997,W,W,W,H,H,H,H,W,W,W,H,H,W,H,W,W,W,H,H,W,H,W,W,W,H,W,W,H,W,W,W,H,W,W,H,W,W,W,H,W,W,H,W,W,W,H,H,W,H,W,W,W,H,W,W,H,W,W,W,H,W,W,H,W,W,W,H,W,W,H,W,W,W,W,W,W,H,W,W,W,H,H,W,H,W,W,H,H,H,W,H,W,W,W,H,W,W,H,W,W,W,H,W,W,W,W,W,W,V,V,V,H,W,W,W,H,W,W,H,W,W,W,H,W,W,H,W,W,W,H,W,W,H,W,W,W,H,W,W,H,W,W,W,H,W,W,H,W,W,W,H,W,W,H,W,W,W,H,W,W,V,W,W,V,V,V,W,H,W,W,W,H,W,H,H,W,W,W,H,W,V,V,W,W,V,V,V,V,V,W,W,V,V,V,V,V,W,W,V,V,V,V,V,W,W,V,V,W,W,H,W,W,W,H,W,W,H,W,W,W,H,H,W,H,W,W,W,H,W,W,H,W,W,W,H,H,H,H,W,W,V,V,V,V,V,W,W,V,H,W,H,H,W,W,W,H,W,W,H,W,W,W,H,W,W,H,W,W,W,H,W,W,H,W,W,W,H,W,W,H,W,W,W,H,W,W,H,W,W,W,H,W,W,H,W,W,W,H,W,W,H,W,W,W,W,W,W,H,W,W,W,H,W,W,H,W,W,W,H,W,W,H,W,W,W,H,W,W,H,W,W,W,H,W,W,H,W,W,W,H,W,W,H,W,W,W,H,W,W,H,W,W,W,H,W,W,H,W,W,W,H,W,W,H,W
78,Diane Hawkins,snyderkenneth@example.net,False,1701.0561185851402,1402.776219054851,14193.828900514396,730820.82793587,2,False,7.261812373038449,1.2247406362646391,15.16213401780994,2.0299636368386715,3,2,0.8315817643313976,1.1835416994285397,W,W,W,W,W,W,H,W,W,W,W,W,W,H,W,W,W,W,W,W,H,W,W,W,W,W,W,H,W,W,H,W,W,W,H,W,W,W,W,W,W,H,W,W,W,H,W,W,H,W,W,W,W,W,W,H,W,W,H,W,W,W,H,W,W,W,H,W,W,H,W,W,W,W,W,W,H,W,W,W,W,W,W,H,W,W,H,W,W,W,H,W,W,H,W,W,W,H,W,W,W,W,W,W,W,W,W,W,W,W,W,H,W,W,H,W,W,W,H,W,W,W,W,H,W,H,W,W,W,V,V,V,V,W,W,V,V,W,W,H,W,W,W,W,W,W,H,W,W,H,W,W,W,H,W,W,W,W,W,W,H,W,W,W,V,V,V,V,W,W,V,V,W,W,H,W,W,W,W,V,V,V,W,W,W,W,W,W,H,W,W,W,W,H,W,H,W,W,V,V,V,W,V,W,W,V,V,V,V,V,W,W,V,V,V,V,H,W,W,W,W,W,W,H,W,W,W,W,W,W,H,W,W,W,W,W,W,H,W,W,H,W,W,W,V,W,W,V,V,V,W,H,W,W,W,W,W,W,V,W,W,W,W,W,W,H,W,W,W,H,W,W,H,W,W,W,W,W,W,H,W,W,H,W,W,W,H,W,W,W,H,W,W,H,W,W,H,W,W,W,H,W,W,W,W,W,W,H,W,W,W,W,W,W,H,W,W,W,W,W,W,H,W,W,W,H,W,W,H,W,W,W,W,W,W,H,W,W,W,W,W,W,H,W,W,W,W,W,W,H,W,W,W,W,H,W,H,W,W,W,W,W,W,H,W
79,Sonya Henry,crystalhensley@example.org,False,2335.3935502639574,1321.8747124424,14484.185586390353,662472.494034258,3,False,7.633737745975484,1.1494566032023221,14.527733329920446,1.9671613286820424,1,3,0.8225551615840854,0.926442389586045,W,W,W,W,W,W,H,W,W,W,W,W,V,V,W,W,V,V,V,W,H,W,W,W,W,H,W,H,W,W,W,W,W,W,H,W,W,W,W,W,W,H,W,W,W,W,W,H,H,W,W,W,H,W,W,H,W,W,W,H,W,H,H,W,W,W,W,W,W,H,W,W,W,W,W,W,H,W,W,W,W,W,W,H,W,W,W,W,W,W,H,W,W,W,W,W,W,H,W,W,W,H,W,W,W,W,W,W,W,W,W,H,W,W,W,W,W,W,H,W,W,W,W,W,W,H,W,W,W,W,H,W,H,W,W,W,W,W,W,H,W,W,W,W,W,W,H,W,W,V,V,V,V,V,W,W,W,V,V,W,H,W,W,W,W,H,W,H,W,W,W,V,V,V,H,W,W,W,W,W,W,V,W,W,V,V,V,V,V,W,W,V,W,W,W,V,W,W,V,V,V,V,V,W,W,V,W,W,W,H,W,W,H,W,W,W,H,W,W,W,W,W,W,H,W,W,W,W,W,W,H,W,W,W,W,W,H,H,W,W,W,W,W,W,H,W,W,W,W,W,W,H,W,W,W,H,W,H,H,W,W,W,V,V,V,V,W,W,V,V,V,H,H,W,W,W,W,W,W,H,W,W,W,W,W,W,H,W,W,W,W,W,W,H,W,W,W,W,W,W,H,W,W,W,W,W,W,H,W,W,W,W,W,W,H,W,W,W,W,W,W,H,W,W,W,W,W,W,H,W,W,W,W,W,W,H,W,W,W,W,W,W,H,W,W,H,W,W,W,H,W,W,W,W,W,W,H,W,W,W,W,W,W,H,W
80,Valerie Weber,eric31@example.com,True,2574.2691462237526,1424.9670470097449,11587.966864091159,720796.9375847387,3,False,8.841601206404949,1.0670498895544802,16.058310278029513,2.259982637783974,3,1,0.7428311151465413,0.9400147751035557,W,W,W,W,W,H,W,W,W,W,W,H,H,W,W,W,W,W,W,H,H,W,W,W,W,W,H,H,W,W,W,W,W,H,W,W,W,W,W,W,H,W,W,W,W,W,W,H,W,W,W,W,W,W,H,W,W,W,W,W,W,H,V,W,W,V,V,W,H,W,W,W,W,W,W,H,H,W,W,W,H,W,H,W,W,W,W,W,W,H,H,W,W,W,H,W,H,W,W,W,W,W,W,H,W,W,W,W,W,W,H,W,W,W,W,W,W,H,W,W,W,H,W,W,V,V,W,W,V,V,V,V,W,W,W,W,W,W,H,W,W,W,W,W,W,H,H,W,W,W,W,W,H,W,W,W,W,W,V,V,V,W,W,V,W,W,H,W,W,W,W,W,W,H,W,W,W,W,V,V,V,V,W,W,V,V,W,H,W,W,W,W,W,W,H,W,W,W,W,W,W,H,W,W,W,W,W,H,H,V,W,W,V,V,V,V,V,W,W,V,V,V,V,V,W,W,V,W,W,H,W,W,W,W,W,W,H,W,W,W,H,W,W,H,W,W,W,W,W,W,H,W,W,W,W,W,W,H,W,W,W,W,H,W,H,W,W,W,W,W,W,H,W,W,W,W,W,W,H,W,W,W,W,W,W,H,H,W,W,W,W,W,H,W,W,W,W,W,W,H,W,W,W,W,W,W,H,W,W,W,W,W,H,H,W,W,W,W,W,W,H,W,W,W,W,W,W,H,W,W,W,W,W,H,H,W,W,W,W,W,H,H,W,W,W,H,W,W,H,W,W,W,W,W,W,H,H,W,W,W,W,W,H,W,W
81,Andrew Smith,barbaraatkinson@example.net,True,1869.2201268591423,1201.6845384608437,17006.812478799762,605006.4911114846,3,False,7.62088931048012,0.9016523557545396,17.13649080057967,2.003401857450599,3,2,0.7157274631222219,1.007991037549623,W,W,W,H,W,W,H,W,W,W,H,W,W,W,W,W,H,H,W,W,W,W,W,W,H,W,W,W,W,W,W,H,H,W,W,W,W,W,H,W,W,W,W,W,W,H,W,W,W,W,W,W,H,W,H,W,W,W,W,H,W,W,W,W,W,W,H,W,W,W,W,W,W,W,W,W,W,W,W,W,H,W,W,W,W,W,W,H,W,W,W,W,W,W,H,W,W,W,W,W,W,H,W,W,W,W,W,W,H,H,W,W,W,W,W,H,W,W,W,W,W,W,H,W,W,W,W,W,V,V,V,V,V,W,W,V,H,W,W,W,W,W,H,H,W,W,W,W,W,W,H,W,H,W,W,W,W,H,W,W,W,W,W,W,H,W,W,W,W,W,W,H,W,W,V,W,W,V,V,V,V,V,W,W,V,H,W,W,W,W,W,V,V,V,V,V,W,W,V,H,W,W,W,W,W,W,H,V,V,V,W,W,V,V,V,V,W,W,W,W,H,W,W,W,W,W,W,H,W,W,W,W,W,V,V,W,W,W,W,W,W,H,W,H,W,W,W,H,H,W,W,W,W,W,W,H,W,W,W,W,W,W,H,W,W,W,W,W,W,V,V,V,W,W,W,W,H,W,W,W,W,W,W,H,W,W,W,W,W,W,H,H,H,W,W,W,H,H,W,W,W,W,W,W,W,W,W,W,W,W,W,H,W,W,W,W,W,W,H,H,W,W,W,W,W,H,W,W,W,W,W,W,H,W,H,W,W,W,W,H,W,W,W,W,W,W,H,W,W,W,W,W,W,H,W,W,W,W,W,W,H,W,W,H,W
82,Kelly Terry,amy07@example.com,False,2114.697655627923,1195.8012058715458,12886.996875929226,728952.708779158,3,False,8.364229425026315,1.343033603865151,16.74641605139464,2.1980718390249314,3,3,0.8252304998829956,1.1871180209102776,W,W,W,W,H,H,W,W,W,W,W,H,W,W,W,W,W,W,H,H,H,W,W,W,W,H,W,W,W,W,W,W,H,W,W,W,W,W,W,H,W,W,W,W,W,W,H,W,W,W,W,W,H,H,H,W,W,W,W,W,H,W,W,W,W,W,W,H,W,H,W,W,W,W,H,W,H,W,W,W,W,H,W,W,W,W,W,H,H,W,W,W,W,W,W,H,W,H,W,W,W,W,H,W,W,W,W,W,W,V,V,V,W,W,V,V,H,W,V,W,W,V,V,H,W,W,W,W,W,H,H,W,W,W,W,W,H,H,W,W,W,W,W,W,H,H,W,W,W,W,W,H,W,W,W,W,W,W,H,W,W,W,W,V,V,V,V,V,W,W,V,H,V,V,V,W,W,V,V,V,V,V,W,W,W,W,H,W,V,W,W,V,V,V,V,V,W,W,W,W,H,W,W,W,W,W,W,H,W,W,W,W,V,V,H,V,V,W,W,V,V,V,W,W,W,W,W,W,H,W,W,W,W,W,W,H,H,W,W,W,W,W,H,H,W,W,W,W,W,H,W,H,W,W,W,W,H,W,W,W,W,W,W,H,W,W,W,W,W,W,H,W,W,W,W,W,W,H,W,W,W,W,W,W,H,W,W,W,W,W,W,H,W,W,W,W,H,W,H,H,W,W,W,W,W,H,W,W,W,W,W,W,H,W,W,W,W,W,W,H,W,W,W,W,W,W,H,W,H,W,W,W,W,H,H,W,W,W,W,W,H,W,W,W,W,W,W,H,H,W,W,W,W,W,H,W,W,W,W,W,W,H,W,H,W
83,Joe Johnson,williamsmichele@example.com,True,1676.25979644964,1310.213411003656,16828.46571239573,614521.2996128474,1,False,8.68453203116972,1.301802839522078,15.799516666187078,2.078135921546,3,2,0.8551232641851012,0.9440866671160224,W,W,W,W,W,W,H,W,W,W,W,W,W,H,W,W,W,H,W,W,H,W,W,W,W,W,W,H,W,W,W,H,W,W,H,W,W,H,W,W,W,H,W,W,W,W,W,W,H,W,W,W,W,W,W,H,W,W,W,H,W,W,H,W,W,W,W,W,W,H,W,W,W,W,H,W,H,W,W,W,H,W,W,H,W,W,W,W,W,W,H,W,W,W,W,H,W,H,W,W,W,W,W,W,W,W,W,W,W,W,W,H,W,W,W,W,W,W,H,W,W,W,W,W,W,H,W,W,H,W,W,W,H,W,W,W,W,W,W,H,W,W,W,V,W,V,V,W,W,V,V,V,W,H,W,W,W,W,W,W,H,W,W,W,W,W,V,V,W,W,V,V,V,V,V,W,W,W,W,W,W,H,W,W,H,W,V,V,V,W,W,V,V,W,V,V,W,W,V,V,V,V,V,W,W,V,W,W,W,H,W,W,W,W,W,W,H,W,W,H,W,W,H,H,W,W,H,W,W,W,H,W,W,H,W,W,W,H,W,W,W,W,W,H,H,W,W,W,W,W,W,H,W,W,W,W,W,W,H,W,W,W,W,W,W,H,W,W,W,W,W,W,H,W,W,H,H,W,W,H,W,W,W,W,W,H,H,W,W,W,W,W,W,H,W,W,W,W,W,W,V,W,W,W,W,V,W,H,W,W,W,W,W,W,H,W,W,W,W,W,W,H,W,W,W,W,W,W,H,W,W,W,W,W,W,H,W,W,H,W,V,V,H,W,W,W,W,W,W,H,W,W,W,W,H,W,H,W,W,W,H,W,W,H,W
84,Ariana Baker,fvillarreal@example.com,False,2742.189150484855,1241.8071386240144,15051.308362650605,705872.5443386486,3,False,7.532600229698025,1.0257429985596103,15.122277079057511,2.0965403953661896,3,1,0.604197659380757,1.4011534814587336,W,W,W,H,W,W,H,W,W,W,W,H,W,H,W,W,W,W,W,W,H,W,W,W,W,W,W,H,W,W,W,W,W,W,H,W,W,W,W,W,W,H,W,W,H,W,W,W,H,W,W,W,W,W,H,H,W,W,H,W,W,W,H,W,W,W,W,W,W,H,W,W,W,W,W,W,H,W,W,W,W,H,W,H,W,W,W,W,W,W,H,W,W,W,H,W,W,H,W,W,W,W,W,W,W,W,W,W,W,H,W,H,W,W,W,W,W,W,H,W,W,W,W,W,W,H,W,W,V,W,W,W,H,W,W,W,H,W,W,H,W,W,W,H,H,W,H,W,W,W,W,W,W,H,W,W,W,W,V,V,V,W,W,V,V,V,W,H,W,W,V,W,W,W,H,W,W,V,V,V,V,V,W,W,V,V,V,V,V,W,W,W,W,W,H,H,W,W,W,W,W,W,H,W,W,W,W,V,V,V,W,W,V,V,V,V,V,W,W,V,V,V,V,V,W,W,W,W,H,W,H,W,W,W,W,W,W,H,W,W,W,W,W,W,H,W,W,W,H,W,W,H,W,W,W,W,W,W,H,W,W,W,W,W,H,H,W,W,W,W,W,W,H,W,W,W,W,W,W,H,W,W,W,W,W,W,H,W,W,W,W,W,W,H,W,W,W,W,W,W,H,W,W,W,W,W,W,H,W,W,W,W,W,W,H,W,W,W,H,W,W,H,W,W,W,W,W,W,H,W,W,W,W,W,W,H,W,W,W,W,W,W,H,W,W,W,W,W,W,H,W,W,W,W,W,H,H,W,W,W,W,W,W,H,W
85,Eric Scott,yburton@example.net,False,3204.4359062794188,899.8296162934342,13425.508712240124,551603.3947937188,2,False,9.433954507628634,1.1622357083832586,17.623858988227944,1.8622442517784303,3,3,0.9144339133066727,0.9188557359842582,W,W,H,H,W,W,W,W,W,W,H,W,W,W,W,W,W,H,W,W,W,W,W,W,H,W,W,W,W,W,W,H,W,W,W,W,W,W,H,W,W,W,W,W,W,H,W,W,W,W,W,H,H,W,H,H,W,W,W,H,W,W,W,W,W,W,H,W,W,W,W,W,W,W,W,W,W,W,W,W,H,W,W,W,W,W,H,H,W,H,W,W,W,W,H,W,W,W,W,W,W,H,W,W,W,W,W,W,H,W,W,W,W,W,W,H,H,W,W,W,W,W,H,W,W,W,W,W,W,H,W,W,W,W,W,W,H,H,V,V,W,W,V,V,V,V,V,W,W,W,H,W,W,W,W,W,W,H,V,V,V,W,W,V,V,V,V,V,W,W,V,V,V,V,V,W,W,V,V,V,V,V,W,W,H,H,W,W,W,W,W,W,H,W,W,W,W,W,W,H,W,H,W,W,W,W,H,W,W,W,W,W,W,H,W,W,W,W,W,W,V,W,H,W,W,W,W,H,W,W,W,W,W,W,H,W,W,W,W,W,W,H,W,W,W,W,W,W,H,H,W,W,W,W,W,H,W,W,W,W,W,W,H,W,W,W,W,W,W,H,W,W,H,W,W,W,H,W,W,W,W,W,W,H,H,W,W,W,W,W,H,W,W,W,W,W,W,H,W,W,H,W,W,W,W,W,W,W,W,W,W,H,W,W,W,W,W,W,H,W,H,W,W,W,W,H,W,W,W,W,W,W,H,W,W,H,W,W,H,H,W,W,W,W,W,W,H,W,W,V,W,W,V,V,V,V,V,W,W,W,V,W,W,W,W
86,Mandy Mayer,peggyterry@example.com,True,2152.318255431919,1025.6840243139436,9661.038832330487,489643.82483275264,3,False,7.387689676203884,1.0991466958977993,14.865981767421458,2.0465543792778025,3,3,0.7591257188717753,1.0972013004051928,W,W,W,W,W,W,H,W,W,W,W,W,W,H,W,W,H,W,W,W,H,W,W,W,W,W,W,H,W,W,H,H,W,H,H,W,W,W,W,W,W,H,W,W,W,W,W,W,H,W,W,W,W,W,W,H,W,W,W,W,W,H,H,W,W,W,W,W,W,H,W,W,W,W,W,W,H,W,W,W,W,W,H,H,W,W,H,W,H,W,H,W,W,W,W,W,H,H,W,W,W,W,W,H,W,W,W,W,W,H,W,H,W,W,W,W,W,W,H,W,W,W,W,W,W,H,W,W,W,W,W,W,H,W,W,W,W,W,W,H,W,W,W,W,W,W,H,W,W,W,W,W,W,H,W,W,W,V,V,V,V,W,W,V,V,V,W,V,W,W,V,V,V,V,H,W,W,V,V,V,V,V,W,W,W,W,W,W,H,W,W,W,W,H,H,H,W,W,H,W,V,V,V,W,W,V,V,V,V,H,W,W,W,W,W,W,H,W,W,H,H,W,W,H,W,W,W,W,W,W,H,W,W,W,W,W,W,H,W,W,W,W,W,W,H,W,W,W,W,V,V,V,W,W,V,V,V,V,H,W,W,W,W,W,W,H,W,W,W,W,W,W,H,W,W,W,W,W,W,H,W,W,W,W,W,W,H,W,W,W,W,W,W,H,W,W,H,W,W,H,H,W,W,W,W,W,W,H,W,W,W,W,W,W,H,W,W,W,H,W,W,H,W,W,H,W,W,W,H,W,W,W,W,W,W,H,W,W,W,W,W,W,H,W,W,W,W,W,W,H,W,W,W,H,W,W,H,W,W,W,W,W,W,H,W
